listing_id,date
6.17242E+17,03-04-2023
52863776,04-04-2023
52837196,04-04-2023
50211226,04-04-2023
6.67645E+17,04-04-2023
6.68608E+17,04-04-2023
6.89719E+17,04-04-2023
51592836,05-04-2023
51230498,05-04-2023
21752534,05-04-2023
54369240,05-04-2023
54150131,05-04-2023
52152157,05-04-2023
6.92808E+17,05-04-2023
16531782,05-04-2023
6.34108E+17,05-04-2023
52863776,06-04-2023
7.23957E+17,06-04-2023
25549565,06-04-2023
19527043,06-04-2023
32279028,06-04-2023
28400263,06-04-2023
8.4596E+17,06-04-2023
35793179,07-04-2023
25549565,07-04-2023
43736299,07-04-2023
7.39723E+17,07-04-2023
12799126,07-04-2023
35914565,07-04-2023
7.84781E+17,07-04-2023
8.50173E+17,07-04-2023
52241973,07-04-2023
40491172,07-04-2023
34330970,08-04-2023
44180048,08-04-2023
47408047,08-04-2023
53567589,08-04-2023
8.31123E+17,08-04-2023
7.86316E+17,08-04-2023
45529316,08-04-2023
50171851,09-04-2023
53567589,09-04-2023
11639446,09-04-2023
6.34108E+17,09-04-2023
34330970,09-04-2023
45528939,09-04-2023
51230498,09-04-2023
50211226,09-04-2023
45529447,09-04-2023
54126420,09-04-2023
54150131,09-04-2023
45024912,09-04-2023
6.77623E+17,09-04-2023
48599533,09-04-2023
6.68608E+17,09-04-2023
16531782,09-04-2023
7.51421E+17,09-04-2023
44180048,09-04-2023
42092736,09-04-2023
7.39723E+17,09-04-2023
6.17242E+17,10-04-2023
8.50173E+17,10-04-2023
50639032,10-04-2023
11639446,10-04-2023
43955950,10-04-2023
5651579,10-04-2023
7.56753E+17,11-04-2023
28868857,11-04-2023
44180048,11-04-2023
42092736,11-04-2023
48124042,12-04-2023
25549565,12-04-2023
47943571,12-04-2023
54150131,12-04-2023
5.93272E+17,12-04-2023
30189794,12-04-2023
22398196,12-04-2023
53567589,13-04-2023
45313545,13-04-2023
50207226,13-04-2023
38321579,13-04-2023
7.56753E+17,13-04-2023
54128829,13-04-2023
7.23957E+17,13-04-2023
24606880,13-04-2023
6.34108E+17,13-04-2023
16531782,14-04-2023
8.46586E+17,14-04-2023
21752534,14-04-2023
46894493,14-04-2023
51230498,14-04-2023
44180048,14-04-2023
